"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","1,175.500","1,175.500","1,175.500","1,175.500","-0.59%"
"Jan 18, 2023","1,182.470","1,182.470","1,182.470","1,182.470","-0.14%"
"Jan 17, 2023","1,184.180","1,184.180","1,184.180","1,184.180","0.28%"
"Jan 16, 2023","1,180.840","1,180.840","1,180.840","1,180.840","0.13%"
"Jan 13, 2023","1,179.260","1,179.260","1,179.260","1,179.260","0.20%"
"Jan 12, 2023","1,176.960","1,176.960","1,176.960","1,176.960","0.27%"
"Jan 11, 2023","1,173.760","1,173.760","1,173.760","1,173.760","0.61%"
"Jan 10, 2023","1,166.670","1,166.670","1,166.670","1,166.670","-0.22%"
"Jan 09, 2023","1,169.290","1,169.290","1,169.290","1,169.290","0.04%"
"Jan 06, 2023","1,168.880","1,168.880","1,168.880","1,168.880","0.80%"
"Jan 05, 2023","1,159.650","1,159.650","1,159.650","1,159.650","-0.26%"
"Jan 04, 2023","1,162.730","1,162.730","1,162.730","1,162.730","0.72%"
"Jan 03, 2023","1,154.410","1,154.410","1,154.410","1,154.410","0.58%"
"Jan 02, 2023","1,147.750","1,147.750","1,147.750","1,147.750","0.40%"
"Dec 30, 2022","1,143.140","1,143.140","1,143.140","1,143.140","-0.51%"
"Dec 29, 2022","1,148.970","1,148.970","1,148.970","1,148.970","0.43%"
"Dec 28, 2022","1,144.020","1,144.020","1,144.020","1,144.020","-0.20%"
"Dec 27, 2022","1,146.260","1,146.260","1,146.260","1,146.260","-0.38%"
"Dec 23, 2022","1,150.640","1,150.640","1,150.640","1,150.640","0.02%"
"Dec 22, 2022","1,150.410","1,150.410","1,150.410","1,150.410","-0.69%"
"Dec 21, 2022","1,158.450","1,158.450","1,158.450","1,158.450","0.75%"
"Dec 20, 2022","1,149.840","1,149.840","1,149.840","1,149.840","-0.49%"
"Dec 19, 2022","1,155.500","1,155.500","1,155.500","1,155.500","-0.13%"
"Dec 16, 2022","1,157.060","1,157.060","1,157.060","1,157.060","-0.62%"
"Dec 15, 2022","1,164.240","1,164.240","1,164.240","1,164.240","-1.80%"
"Dec 14, 2022","1,185.640","1,185.640","1,185.640","1,185.640","-0.25%"
"Dec 13, 2022","1,188.670","1,188.670","1,188.670","1,188.670","-1.19%"
"Dec 12, 2022","1,203.000","1,203.000","1,203.000","1,203.000","0.04%"
"Dec 09, 2022","1,202.550","1,202.550","1,202.550","1,202.550","-0.16%"
"Dec 08, 2022","1,204.480","1,204.480","1,204.480","1,204.480","0.06%"
"Dec 07, 2022","1,203.790","1,203.790","1,203.790","1,203.790","-0.18%"
"Dec 06, 2022","1,205.930","1,205.930","1,205.930","1,205.930","-0.38%"
"Dec 05, 2022","1,210.570","1,210.570","1,210.570","1,210.570","-0.68%"
"Dec 02, 2022","1,218.890","1,218.890","1,218.890","1,218.890","-0.22%"
"Dec 01, 2022","1,221.550","1,221.550","1,221.550","1,221.550","0.10%"
"Nov 30, 2022","1,220.310","1,220.310","1,220.310","1,220.310","0.89%"
"Nov 29, 2022","1,209.530","1,209.530","1,209.530","1,209.530","0.26%"
"Nov 28, 2022","1,206.420","1,206.420","1,206.420","1,206.420","-0.51%"
"Nov 25, 2022","1,212.650","1,212.650","1,212.650","1,212.650","-0.31%"
"Nov 24, 2022","1,216.360","1,216.360","1,216.360","1,216.360","0.34%"
"Nov 23, 2022","1,212.210","1,212.210","1,212.210","1,212.210","0.14%"
"Nov 22, 2022","1,210.470","1,210.470","1,210.470","1,210.470","0.41%"
"Nov 21, 2022","1,205.550","1,205.550","1,205.550","1,205.550","0.33%"
"Nov 18, 2022","1,201.640","1,201.640","1,201.640","1,201.640","0.29%"
"Nov 17, 2022","1,198.220","1,198.220","1,198.220","1,198.220","-0.21%"
"Nov 16, 2022","1,200.790","1,200.790","1,200.790","1,200.790","-0.59%"
"Nov 15, 2022","1,207.860","1,207.860","1,207.860","1,207.860","0.39%"
"Nov 10, 2022","1,203.110","1,203.110","1,203.110","1,203.110","1.35%"
"Nov 08, 2022","1,187.110","1,187.110","1,187.110","1,187.110","0.25%"
"Nov 07, 2022","1,184.110","1,184.110","1,184.110","1,184.110","0.14%"
"Nov 04, 2022","1,182.480","1,182.480","1,182.480","1,182.480","-0.03%"
"Nov 03, 2022","1,182.890","1,182.890","1,182.890","1,182.890","-0.47%"
"Nov 02, 2022","1,188.510","1,188.510","1,188.510","1,188.510","-0.15%"
"Oct 31, 2022","1,190.340","1,190.340","1,190.340","1,190.340","0.20%"
"Oct 28, 2022","1,187.920","1,187.920","1,187.920","1,187.920","0.46%"
"Oct 27, 2022","1,182.500","1,182.500","1,182.500","1,182.500","0.41%"
"Oct 26, 2022","1,177.690","1,177.690","1,177.690","1,177.690","0.02%"
"Oct 25, 2022","1,177.490","1,177.490","1,177.490","1,177.490","0.79%"
"Oct 24, 2022","1,168.300","1,168.300","1,168.300","1,168.300","0.38%"
"Oct 21, 2022","1,163.900","1,163.900","1,163.900","1,163.900","0.37%"
"Oct 20, 2022","1,159.620","1,159.620","1,159.620","1,159.620","-0.25%"
"Oct 19, 2022","1,162.480","1,162.480","1,162.480","1,162.480","-0.23%"
"Oct 18, 2022","1,165.180","1,165.180","1,165.180","1,165.180","0.37%"
"Oct 17, 2022","1,160.850","1,160.850","1,160.850","1,160.850","0.57%"
"Oct 14, 2022","1,154.230","1,154.230","1,154.230","1,154.230","-0.22%"
"Oct 13, 2022","1,156.720","1,156.720","1,156.720","1,156.720","0.27%"
"Oct 12, 2022","1,153.640","1,153.640","1,153.640","1,153.640","-0.31%"
"Oct 11, 2022","1,157.250","1,157.250","1,157.250","1,157.250","-0.44%"
"Oct 10, 2022","1,162.340","1,162.340","1,162.340","1,162.340","-0.40%"
"Oct 07, 2022","1,167.020","1,167.020","1,167.020","1,167.020","-1.17%"
"Oct 06, 2022","1,180.800","1,180.800","1,180.800","1,180.800","-0.16%"
