"Date","Price","Open","High","Low","Change %"
"Jan 19, 2023","1,316.670","1,316.670","1,316.670","1,316.670","-0.73%"
"Jan 18, 2023","1,326.300","1,326.300","1,326.300","1,326.300","-0.40%"
"Jan 17, 2023","1,331.690","1,331.690","1,331.690","1,331.690","0.22%"
"Jan 16, 2023","1,328.820","1,328.820","1,328.820","1,328.820","0.19%"
"Jan 13, 2023","1,326.360","1,326.360","1,326.360","1,326.360","0.24%"
"Jan 12, 2023","1,323.190","1,323.190","1,323.190","1,323.190","0.22%"
"Jan 11, 2023","1,320.340","1,320.340","1,320.340","1,320.340","0.65%"
"Jan 10, 2023","1,311.850","1,311.850","1,311.850","1,311.850","-0.22%"
"Jan 09, 2023","1,314.680","1,314.680","1,314.680","1,314.680","0.03%"
"Jan 06, 2023","1,314.310","1,314.310","1,314.310","1,314.310","0.92%"
"Jan 05, 2023","1,302.270","1,302.270","1,302.270","1,302.270","-0.29%"
"Jan 04, 2023","1,306.090","1,306.090","1,306.090","1,306.090","0.79%"
"Jan 03, 2023","1,295.800","1,295.800","1,295.800","1,295.800","0.62%"
"Jan 02, 2023","1,287.760","1,287.760","1,287.760","1,287.760","0.42%"
"Dec 30, 2022","1,282.410","1,282.410","1,282.410","1,282.410","-0.54%"
"Dec 29, 2022","1,289.400","1,289.400","1,289.400","1,289.400","0.54%"
"Dec 28, 2022","1,282.480","1,282.480","1,282.480","1,282.480","-0.26%"
"Dec 27, 2022","1,285.870","1,285.870","1,285.870","1,285.870","-0.34%"
"Dec 23, 2022","1,290.290","1,290.290","1,290.290","1,290.290","0.10%"
"Dec 22, 2022","1,288.970","1,288.970","1,288.970","1,288.970","-0.90%"
"Dec 21, 2022","1,300.630","1,300.630","1,300.630","1,300.630","1.04%"
"Dec 20, 2022","1,287.210","1,287.210","1,287.210","1,287.210","-0.48%"
"Dec 19, 2022","1,293.460","1,293.460","1,293.460","1,293.460","-0.15%"
"Dec 16, 2022","1,295.360","1,295.360","1,295.360","1,295.360","-0.64%"
"Dec 15, 2022","1,303.660","1,303.660","1,303.660","1,303.660","-2.22%"
"Dec 14, 2022","1,333.230","1,333.230","1,333.230","1,333.230","-0.35%"
"Dec 13, 2022","1,337.930","1,337.930","1,337.930","1,337.930","-1.26%"
"Dec 12, 2022","1,354.960","1,354.960","1,354.960","1,354.960","0.06%"
"Dec 09, 2022","1,354.180","1,354.180","1,354.180","1,354.180","-0.05%"
"Dec 08, 2022","1,354.820","1,354.820","1,354.820","1,354.820","0.15%"
"Dec 07, 2022","1,352.830","1,352.830","1,352.830","1,352.830","-0.28%"
"Dec 06, 2022","1,356.620","1,356.620","1,356.620","1,356.620","-0.66%"
"Dec 05, 2022","1,365.620","1,365.620","1,365.620","1,365.620","-0.94%"
"Dec 02, 2022","1,378.620","1,378.620","1,378.620","1,378.620","-0.27%"
"Dec 01, 2022","1,382.350","1,382.350","1,382.350","1,382.350","-0.11%"
"Nov 30, 2022","1,383.860","1,383.860","1,383.860","1,383.860","1.26%"
"Nov 29, 2022","1,366.660","1,366.660","1,366.660","1,366.660","0.25%"
"Nov 28, 2022","1,363.300","1,363.300","1,363.300","1,363.300","-0.73%"
"Nov 25, 2022","1,373.330","1,373.330","1,373.330","1,373.330","-0.24%"
"Nov 24, 2022","1,376.630","1,376.630","1,376.630","1,376.630","0.29%"
"Nov 23, 2022","1,372.700","1,372.700","1,372.700","1,372.700","0.09%"
"Nov 22, 2022","1,371.510","1,371.510","1,371.510","1,371.510","0.55%"
"Nov 21, 2022","1,364.040","1,364.040","1,364.040","1,364.040","0.36%"
