,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
67,2022-12-12,2022-12-20,,,,
134,2022-11-10,2022-12-20,,,,
135,2022-11-10,2022-11-21,,,,
201,2022-10-10,2022-12-20,,,,
202,2022-10-10,2022-11-21,,,,
203,2022-10-10,2022-10-20,,,,
268,2022-09-12,2022-12-20,1.0,0.9219491310414817,-7.805086895851831,-25.890625
269,2022-09-12,2022-11-21,,,,
270,2022-09-12,2022-10-20,,,,
271,2022-09-12,2022-09-20,,,,
335,2022-08-10,2022-12-20,2.0,1.8237638723245193,-8.811806383774034,-25.3046875
336,2022-08-10,2022-11-21,1.0,0.9242623154237498,-7.573768457625018,-24.3515625
337,2022-08-10,2022-10-20,,,,
338,2022-08-10,2022-09-20,,,,
339,2022-08-10,2022-08-22,,,,
402,2022-07-11,2022-12-20,3.0,2.7612928970923214,-7.956903430255953,-20.65625
403,2022-07-11,2022-11-21,2.0,1.8851278984990851,-5.7436050750457435,-16.7265625
404,2022-07-11,2022-10-20,1.0,0.9266428018575853,-7.33571981424147,-24.0703125
405,2022-07-11,2022-09-20,,,,
406,2022-07-11,2022-08-22,,,,
407,2022-07-11,2022-07-20,,,,
469,2022-06-10,2022-12-20,4.0,3.699729852350892,-7.506753691227697,-17.703125
470,2022-06-10,2022-11-21,3.0,2.8469240118698647,-5.102532937671178,-13.3671875
471,2022-06-10,2022-10-20,2.0,1.8541829916697101,-7.290850416514494,-21.12890625
472,2022-06-10,2022-09-20,1.0,0.9547194783394668,-4.52805216605332,-15.28125
473,2022-06-10,2022-08-22,,,,
474,2022-06-10,2022-07-20,,,,
475,2022-06-10,2022-06-21,,,,
536,2022-05-10,2022-12-20,5.0,4.63352466155043,-7.329506768991401,-15.80078125
537,2022-05-10,2022-11-21,4.0,3.803962428932694,-4.900939276682648,-11.6171875
538,2022-05-10,2022-10-20,3.0,2.7771349382198838,-7.42883539267054,-19.24609375
539,2022-05-10,2022-09-20,2.0,1.9047162662104675,-4.764186689476624,-14.078125
540,2022-05-10,2022-08-22,1.0,1.001406912501606,0.14069125016060724,0.4921875
