,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
67,2022-12-12,2022-12-20,,,,
134,2022-11-10,2022-12-20,,,,
135,2022-11-10,2022-11-21,,,,
201,2022-10-10,2022-12-20,,,,
202,2022-10-10,2022-11-21,,,,
203,2022-10-10,2022-10-20,,,,
268,2022-09-12,2022-12-20,1.0,0.9179854038751424,-8.201459612485761,-27.0546875
269,2022-09-12,2022-11-21,,,,
270,2022-09-12,2022-10-20,,,,
271,2022-09-12,2022-09-20,,,,
335,2022-08-10,2022-12-20,2.0,1.8108897775117336,-9.455511124413318,-26.96484375
336,2022-08-10,2022-11-21,1.0,0.9214184815649251,-7.858151843507488,-25.17578125
337,2022-08-10,2022-10-20,,,,
338,2022-08-10,2022-09-20,,,,
339,2022-08-10,2022-08-22,,,,
402,2022-07-11,2022-12-20,3.0,2.7324072301547733,-8.91975899484089,-22.95703125
403,2022-07-11,2022-11-21,2.0,1.8723637753949105,-6.381811230254475,-18.4609375
404,2022-07-11,2022-10-20,1.0,0.9168276142057041,-8.317238579429587,-26.93359375
405,2022-07-11,2022-09-20,,,,
406,2022-07-11,2022-08-22,,,,
407,2022-07-11,2022-07-20,,,,
469,2022-06-10,2022-12-20,4.0,3.6641900355846375,-8.395249110384063,-19.66796875
470,2022-06-10,2022-11-21,3.0,2.833902236933372,-5.536592102220927,-14.453125
471,2022-06-10,2022-10-20,2.0,1.8438683381876046,-7.8065830906197675,-22.49609375
472,2022-06-10,2022-09-20,1.0,0.9582714932126697,-4.172850678733031,-14.1484375
473,2022-06-10,2022-08-22,,,,
474,2022-06-10,2022-07-20,,,,
475,2022-06-10,2022-06-20,,,,
536,2022-05-10,2022-12-20,5.0,4.575083936700076,-8.49832126599848,-18.1875
537,2022-05-10,2022-11-21,4.0,3.773884725555537,-5.652881861111581,-13.32421875
538,2022-05-10,2022-10-20,3.0,2.750126466841509,-8.329117771949704,-21.40625
539,2022-05-10,2022-09-20,2.0,1.8950602530970215,-5.2469873451489235,-15.421875
540,2022-05-10,2022-08-22,1.0,0.9818106035040995,-1.8189396495900456,-6.2421875
